homelat,homelon,homecontinent,n
-3.74603,-61.6575,South America,2
-8.74232,-67.3919,South America,1
-3.314,-59.5557,South America,2
-3.27479,-60.19,South America,11
-3.13861,-58.4449,South America,11
-3.29066,-60.6216,South America,62
-3.11866,-60.0212,South America,863
-5.80462,-61.2895,South America,1
-3.39289,-57.7067,South America,1
-2.63637,-60.9434,South America,1
-2.63741,-56.729,South America,6
-2.02981,-60.0234,South America,2
-3.09544,-67.9463,South America,7
-3.47292,-68.9646,South America,5
-4.2416,-69.9383,South America,2
-3.36822,-64.7193,South America,1
-2.86582,-67.7919,South America,3
-21.4256,-45.9477,South America,1
-18.974,-41.97,South America,1
-18.6456,-48.1934,South America,2
-20.2863,-45.5373,South America,2
-21.2214,-43.7703,South America,1
-19.9102,-43.9266,South America,330
-19.9668,-44.2008,South America,6
-21.0927,-45.5612,South America,2
-19.7386,-45.2622,South America,1
-22.2707,-46.1653,South America,1
-21.6412,-46.391,South America,1
-22.6115,-46.0572,South America,5
-20.8932,-45.2699,South America,1
-19.6914,-46.1725,South America,1
-20.6164,-46.0493,South America,1
-20.7343,-42.0313,South America,1
-21.4633,-45.2201,South America,1
-20.1912,-44.7664,South America,2
-18.5852,-49.2014,South America,1
-19.9321,-44.0539,South America,16
-19.5179,-42.6276,South America,2
-20.9917,-43.0003,South America,1
-20.1446,-44.8912,South America,19
-19.764,-44.3065,South America,1
-22.854,-46.3178,South America,2
-20.0259,-48.9355,South America,1
-18.8545,-41.9555,South America,3
-18.8425,-46.7901,South America,1
-19.4158,-42.4139,South America,1
-19.4703,-42.5476,South America,5
-19.6239,-43.2312,South America,1
-22.4225,-45.4598,South America,1
-22.2942,-44.9382,South America,1
-20.4704,-45.127,South America,1
-22.7665,-46.2241,South America,1
-15.8022,-43.3132,South America,2
-20.5339,-43.9894,South America,1
-19.8126,-43.1735,South America,1
-21.7595,-43.3398,South America,53
-20.0237,-45.5401,South America,11
-21.248,-45.0009,South America,3
-21.6778,-45.9219,South America,1
-20.2572,-42.028,South America,1
-20.3765,-43.414,South America,3
-20.0582,-44.1883,South America,1
-19.5543,-44.0868,South America,1
-16.7282,-43.8578,South America,1
-21.13,-42.3693,South America,4
-17.8481,-40.3533,South America,2
-19.9758,-43.8509,South America,41
-22.2779,-46.3716,South America,1
-17.2252,-46.8711,South America,1
-19.8534,-44.6114,South America,1
-22.5539,-45.7803,South America,2
-18.5699,-46.5013,South America,6
-18.9379,-46.9934,South America,6
-17.3392,-44.934,South America,1
-20.4762,-45.9589,South America,1
-21.78,-46.5692,South America,3
-22.2266,-45.9389,South America,9
-19.7621,-44.0844,South America,2
-19.884,-43.8263,South America,7
-19.7548,-43.8497,South America,1
-19.4431,-43.1064,South America,1
-19.3661,-42.5446,South America,1
-20.085,-45.2947,South America,2
-21.1311,-44.2526,South America,3
-21.5381,-43.0069,South America,1
-22.1166,-45.0506,South America,1
-20.0367,-44.1446,South America,1
-22.5869,-46.1763,South America,4
-19.1083,-46.6961,South America,1
-19.4569,-44.2413,South America,3
